name,team,stat,value
Shohei Ohtani,Los Angeles Dodgers,homeRuns,17
Kyle Schwarber,Philadelphia Phillies,homeRuns,16
Aaron Judge,New York Yankees,homeRuns,15
Cal Raleigh,Seattle Mariners,homeRuns,15
Corbin Carroll,Arizona Diamondbacks,homeRuns,14
Eugenio Suárez,Arizona Diamondbacks,homeRuns,14
Taylor Ward,Los Angeles Angels,homeRuns,13
Pete Crow-Armstrong,Chicago Cubs,homeRuns,12
Trent Grisham,New York Yankees,homeRuns,12
Fernando Tatis Jr.,San Diego Padres,homeRuns,12
Spencer Torkelson,Detroit Tigers,homeRuns,12
James Wood,Washington Nationals,homeRuns,12
Wilyer Abreu,Boston Red Sox,homeRuns,11
Alex Bregman,Boston Red Sox,homeRuns,11
Riley Greene,Detroit Tigers,homeRuns,11
Seiya Suzuki,Chicago Cubs,homeRuns,11
Byron Buxton,Minnesota Twins,homeRuns,10
Wilmer Flores,San Francisco Giants,homeRuns,10
Kyle Manzardo,Cleveland Guardians,homeRuns,10
Cedric Mullins,Baltimore Orioles,homeRuns,10
Logan O'Hoppe,Los Angeles Angels,homeRuns,10
Jorge Polanco,Seattle Mariners,homeRuns,10
Brent Rooker,Athletics,homeRuns,10
Tyler Soderstrom,Athletics,homeRuns,10
Kyle Stowers,Miami Marlins,homeRuns,10
Dansby Swanson,Chicago Cubs,homeRuns,10
Kyle Tucker,Chicago Cubs,homeRuns,10
Pete Alonso,New York Mets,homeRuns,9
Kerry Carpenter,Detroit Tigers,homeRuns,9
Rafael Devers,Boston Red Sox,homeRuns,9
Freddie Freeman,Los Angeles Dodgers,homeRuns,9
Teoscar Hernández,Los Angeles Dodgers,homeRuns,9
Wyatt Langford,Texas Rangers,homeRuns,9
Francisco Lindor,New York Mets,homeRuns,9
Matt Olson,Atlanta Braves,homeRuns,9
Andy Pages,Los Angeles Dodgers,homeRuns,9
José Ramírez,Cleveland Guardians,homeRuns,9
Ben Rice,New York Yankees,homeRuns,9
Mike Trout,Los Angeles Angels,homeRuns,9
CJ Abrams,Washington Nationals,homeRuns,8
Jordan Beck,Colorado Rockies,homeRuns,8
Mookie Betts,Los Angeles Dodgers,homeRuns,8
Junior Caminero,Tampa Bay Rays,homeRuns,8
Matt Chapman,San Francisco Giants,homeRuns,8
