name,team,AB,R,H,HR,RBI,BB,K,AVG,OBP,SLG,OPS,playerType
Brent Rooker,,546,82,160,39,112,59,177,.293,.365,.562,.927,hitter
Gio Urshela,,432,34,108,9,52,23,72,.250,.286,.361,.647,hitter
JJ Bleday,,572,74,139,20,60,67,125,.243,.324,.437,.761,hitter
Jacob Wilson,,92,11,23,0,3,8,10,.250,.314,.315,.629,hitter
Jhonny Pereda,,39,2,9,0,4,0,10,.231,.250,.231,.481,hitter
Lawrence Butler,,412,63,108,22,57,35,108,.262,.317,.490,.807,hitter
Luis Urías,,94,11,18,4,16,9,34,.191,.303,.394,.697,hitter
Max Schuemann,,396,55,87,7,34,47,119,.220,.311,.308,.619,hitter
Miguel Andujar,,302,31,86,4,30,13,42,.285,.320,.377,.697,hitter
Seth Brown,,372,32,86,14,44,25,112,.231,.283,.379,.662,hitter
Shea Langeliers,,482,58,108,29,80,41,145,.224,.288,.450,.738,hitter
Tyler Soderstrom,,189,18,44,9,26,20,53,.233,.315,.429,.744,hitter
Adam Frazier,,262,35,53,4,22,22,59,.202,.282,.294,.576,hitter
Alexander Canario,,25,4,7,1,2,2,11,.280,.357,.440,.797,hitter
Andrew McCutchen,,448,66,104,20,50,58,133,.232,.328,.411,.739,hitter
Bryan Reynolds,,622,73,171,24,88,57,156,.275,.344,.447,.791,hitter
Chase Shugart,,0,0,0,0,0,0,0,.000,.000,.000,.000,hitter
Henry Davis,,104,9,15,1,5,13,45,.144,.242,.212,.454,hitter
Isiah Kiner-Falefa,,465,53,125,8,43,16,78,.269,.306,.376,.682,hitter
Jared Triolo,,394,41,85,9,46,42,118,.216,.296,.315,.611,hitter
Joey Bart,,253,38,67,13,45,22,73,.265,.337,.462,.799,hitter
Ke'Bryan Hayes,,365,38,85,4,25,23,75,.233,.283,.290,.573,hitter
Oneil Cruz,,541,72,140,21,76,51,181,.259,.324,.449,.773,hitter
Spencer Horwitz,,328,46,87,12,40,42,70,.265,.357,.433,.790,hitter
Tommy Pham,,440,49,109,9,39,35,106,.248,.305,.368,.673,hitter
Brandon Lockridge,,12,4,2,1,1,0,4,.167,.167,.417,.584,hitter
Elias Díaz,,325,27,86,6,39,20,69,.265,.313,.382,.695,hitter
Fernando Tatis Jr.,,398,64,110,21,49,32,96,.276,.340,.492,.832,hitter
Gavin Sheets,,451,35,105,10,45,43,106,.233,.303,.357,.660,hitter
Jackson Merrill,,554,77,162,24,90,29,101,.292,.326,.500,.826,hitter
Jake Cronenworth,,577,72,139,17,83,61,118,.241,.324,.390,.714,hitter
Jason Heyward,,228,33,48,10,37,22,53,.211,.288,.412,.700,hitter
Jose Iglesias,,270,39,91,4,26,12,39,.337,.381,.448,.829,hitter
Luis Arraez,,637,83,200,4,46,24,29,.314,.346,.392,.738,hitter
Manny Machado,,593,77,163,29,105,45,124,.275,.325,.472,.797,hitter
Martín Maldonado,,135,9,16,4,11,8,51,.119,.174,.230,.404,hitter
Tyler Wade,,138,28,30,0,8,11,29,.217,.285,.239,.524,hitter
Xander Bogaerts,,428,50,113,11,44,28,79,.264,.307,.381,.688,hitter
Cal Raleigh,,546,73,120,34,100,70,176,.220,.312,.436,.748,hitter
Donovan Solano,,283,31,81,8,35,22,65,.286,.343,.417,.760,hitter
Dylan Moore,,368,53,74,10,42,53,123,.201,.320,.367,.687,hitter
J.P. Crawford,,392,55,79,9,37,52,102,.202,.304,.321,.625,hitter
Jorge Polanco,,417,43,89,16,45,46,137,.213,.296,.355,.651,hitter
Julio Rodríguez,,567,76,155,20,68,38,156,.273,.325,.409,.734,hitter
Leo Rivas,,73,10,17,0,8,10,24,.233,.333,.274,.607,hitter
Leody Taveras,,480,59,110,12,44,42,112,.229,.289,.352,.641,hitter
Luis Castillo,,1,0,0,0,0,0,1,.000,.000,.000,.000,hitter
Miles Mastrobuoni,,98,9,19,0,4,7,17,.194,.245,.224,.469,hitter
Mitch Garver,,367,37,63,15,51,53,133,.172,.286,.341,.627,hitter
Randy Arozarena,,549,77,120,20,60,73,169,.219,.332,.388,.720,hitter
Rowdy Tellez,,383,38,93,13,56,31,89,.243,.299,.392,.691,hitter
Casey Schmitt,,107,11,27,6,16,4,25,.252,.283,.477,.760,hitter
Heliot Ramos,,475,54,128,22,72,37,135,.269,.322,.469,.791,hitter
Jung Hoo Lee,,145,15,38,2,8,10,13,.262,.310,.331,.641,hitter
LaMonte Wade Jr.,,331,45,86,8,34,62,90,.260,.380,.381,.761,hitter
Luis Matos,,150,14,32,5,25,5,24,.213,.237,.347,.584,hitter
