name,team,jersey,position,age,height,weight,batSide,throwSide
Anthony Maldonado,Athletics,,Pitcher,27,"6' 4""",220,R,R
Brent Rooker,Athletics,,Outfielder,30,"6' 3""",225,R,R
Carlos Duran,Athletics,,Pitcher,23,"6' 7""",230,R,R
Gio Urshela,Athletics,,Third Base,33,"6' 0""",215,R,R
Grant Holman,Athletics,,Pitcher,24,"6' 6""",250,R,R
Gunnar Hoglund,Athletics,,Pitcher,25,"6' 4""",220,L,R
Hogan Harris,Athletics,,Pitcher,28,"6' 3""",230,R,L
JJ Bleday,Athletics,,Outfielder,27,"6' 2""",205,L,L
JP Sears,Athletics,,Pitcher,29,"5' 11""",180,R,L
Jacob Wilson,Athletics,,Shortstop,23,"6' 2""",190,R,R
Jeffrey Springs,Athletics,,Pitcher,32,"6' 3""",218,L,L
Jhonny Pereda,Athletics,,Catcher,29,"6' 1""",202,R,R
Justin Sterner,Athletics,,Pitcher,28,"6' 1""",215,R,R
Lawrence Butler,Athletics,,Outfielder,24,"6' 3""",210,L,R
Luis Severino,Athletics,,Pitcher,31,"6' 2""",218,R,R
Luis Urías,Athletics,,Second Base,27,"5' 9""",202,R,R
Mason Miller,Athletics,,Pitcher,26,"6' 5""",200,R,R
Max Schuemann,Athletics,,Third Base,27,"6' 0""",186,R,R
Michel Otañez,Athletics,,Pitcher,27,"6' 4""",218,R,R
Miguel Andujar,Athletics,,Outfielder,30,"6' 0""",211,R,R
Mitch Spence,Athletics,,Pitcher,27,"6' 1""",185,R,R
Nick Kurtz,Athletics,,First Base,22,"6' 5""",240,L,L
Seth Brown,Athletics,,Outfielder,32,"6' 1""",223,L,L
Shea Langeliers,Athletics,,Catcher,27,"6' 0""",205,R,R
Tyler Ferguson,Athletics,,Pitcher,31,"6' 4""",225,R,R
Tyler Soderstrom,Athletics,,First Base,23,"6' 2""",200,L,R
Adam Frazier,Pittsburgh Pirates,,Second Base,33,"5' 10""",190,L,R
Alexander Canario,Pittsburgh Pirates,,Outfielder,25,"6' 1""",215,R,R
Andrew Heaney,Pittsburgh Pirates,,Pitcher,33,"6' 2""",200,L,L
Andrew McCutchen,Pittsburgh Pirates,,Outfielder,38,"5' 10""",190,R,R
Bailey Falter,Pittsburgh Pirates,,Pitcher,28,"6' 4""",205,R,L
Bryan Reynolds,Pittsburgh Pirates,,Outfielder,30,"6' 2""",205,S,R
Caleb Ferguson,Pittsburgh Pirates,,Pitcher,28,"6' 3""",225,R,L
Chase Shugart,Pittsburgh Pirates,,Pitcher,28,"5' 11""",200,L,R
David Bednar,Pittsburgh Pirates,,Pitcher,30,"6' 1""",250,L,R
Dennis Santana,Pittsburgh Pirates,,Pitcher,29,"6' 2""",190,R,R
Henry Davis,Pittsburgh Pirates,,Catcher,25,"6' 0""",225,R,R
Isaac Mattson,Pittsburgh Pirates,,Pitcher,29,"6' 2""",215,R,R
Isiah Kiner-Falefa,Pittsburgh Pirates,,Shortstop,30,"5' 10""",195,R,R
Jared Triolo,Pittsburgh Pirates,,Shortstop,27,"6' 3""",210,R,R
Joey Bart,Pittsburgh Pirates,,Catcher,28,"6' 3""",235,R,R
Joey Wentz,Pittsburgh Pirates,,Pitcher,27,"6' 5""",220,L,L
Ke'Bryan Hayes,Pittsburgh Pirates,,Third Base,28,"5' 11""",215,R,R
Mike Burrows,Pittsburgh Pirates,,Pitcher,25,"6' 1""",200,R,R
Mitch Keller,Pittsburgh Pirates,,Pitcher,29,"6' 3""",212,R,R
Nick Solak,Pittsburgh Pirates,,Outfielder,30,"5' 10""",185,R,R
Oneil Cruz,Pittsburgh Pirates,,Outfielder,26,"6' 7""",240,L,R
Paul Skenes,Pittsburgh Pirates,,Pitcher,22,"6' 6""",260,R,R
Ryan Borucki,Pittsburgh Pirates,,Pitcher,31,"6' 4""",210,L,L
Spencer Horwitz,Pittsburgh Pirates,,First Base,27,"5' 11""",200,L,R
Tanner Rainey,Pittsburgh Pirates,,Pitcher,32,"6' 3""",245,R,R
Tommy Pham,Pittsburgh Pirates,,Outfielder,37,"6' 1""",225,R,R
Adrian Morejon,San Diego Padres,,Pitcher,26,"5' 11""",224,L,L
Alek Jacob,San Diego Padres,,Pitcher,26,"6' 3""",190,L,R
Brandon Lockridge,San Diego Padres,,Outfielder,28,"5' 11""",185,R,R
Dylan Cease,San Diego Padres,,Pitcher,29,"6' 2""",200,R,R
Elias Díaz,San Diego Padres,,Catcher,34,"6' 1""",223,R,R
Fernando Tatis Jr.,San Diego Padres,,Outfielder,26,"6' 3""",217,R,R
Gavin Sheets,San Diego Padres,,First Base,29,"6' 3""",235,L,L
Jackson Merrill,San Diego Padres,,Outfielder,22,"6' 3""",195,L,R
Jake Cronenworth,San Diego Padres,,Second Base,31,"6' 0""",187,L,R
Jason Adam,San Diego Padres,,Pitcher,33,"6' 3""",229,R,R
Jason Heyward,San Diego Padres,,Outfielder,35,"6' 5""",240,L,L
Jeremiah Estrada,San Diego Padres,,Pitcher,26,"6' 1""",185,S,R
Jose Iglesias,San Diego Padres,,Second Base,35,"5' 11""",195,R,R
Luis Arraez,San Diego Padres,,First Base,28,"5' 10""",175,L,R
Manny Machado,San Diego Padres,,Third Base,32,"6' 2""",218,R,R
Martín Maldonado,San Diego Padres,,Catcher,38,"6' 0""",230,R,R
Michael King,San Diego Padres,,Pitcher,29,"6' 3""",210,R,R
Nick Pivetta,San Diego Padres,,Pitcher,32,"6' 5""",210,R,R
Randy Vásquez,San Diego Padres,,Pitcher,26,"6' 0""",165,R,R
Robert Suarez,San Diego Padres,,Pitcher,34,"6' 2""",210,R,R
Sean Reynolds,San Diego Padres,,Pitcher,27,"6' 8""",250,L,R
Stephen Kolek,San Diego Padres,,Pitcher,28,"6' 3""",210,R,R
Tyler Wade,San Diego Padres,,Outfielder,30,"6' 0""",188,L,R
Wandy Peralta,San Diego Padres,,Pitcher,33,"6' 0""",227,L,L
Xander Bogaerts,San Diego Padres,,Shortstop,32,"6' 2""",218,R,R
Yuki Matsui,San Diego Padres,,Pitcher,29,"5' 8""",165,L,L
Andrés Muñoz,Seattle Mariners,,Pitcher,26,"6' 2""",222,R,R
Ben Williamson,Seattle Mariners,,Third Base,24,"6' 0""",210,R,R
Bryan Woo,Seattle Mariners,,Pitcher,25,"6' 2""",205,R,R
Cal Raleigh,Seattle Mariners,,Catcher,28,"6' 2""",235,S,R
Carlos Vargas,Seattle Mariners,,Pitcher,25,"6' 4""",210,R,R
Casey Legumina,Seattle Mariners,,Pitcher,27,"6' 2""",195,R,R
Collin Snider,Seattle Mariners,,Pitcher,29,"6' 4""",195,R,R
Donovan Solano,Seattle Mariners,,First Base,37,"5' 8""",210,R,R
Dylan Moore,Seattle Mariners,,Second Base,32,"6' 0""",205,R,R
Eduard Bazardo,Seattle Mariners,,Pitcher,29,"6' 0""",190,R,R
Emerson Hancock,Seattle Mariners,,Pitcher,25,"6' 4""",213,R,R
Gabe Speier,Seattle Mariners,,Pitcher,30,"5' 11""",200,L,L
George Kirby,Seattle Mariners,,Pitcher,27,"6' 4""",215,R,R
J.P. Crawford,Seattle Mariners,,Shortstop,30,"6' 0""",202,L,R
Jesse Hahn,Seattle Mariners,,Pitcher,35,"6' 5""",205,R,R
Jorge Polanco,Seattle Mariners,,Third Base,31,"6' 0""",208,S,R
Julio Rodríguez,Seattle Mariners,,Outfielder,24,"6' 3""",228,R,R
Leo Rivas,Seattle Mariners,,Second Base,27,"5' 8""",150,S,R
Leody Taveras,Seattle Mariners,,Outfielder,26,"6' 2""",195,S,R
Logan Evans,Seattle Mariners,,Pitcher,23,"6' 4""",215,R,R
Luis Castillo,Seattle Mariners,,Pitcher,32,"6' 2""",200,R,R
Matt Brash,Seattle Mariners,,Pitcher,27,"6' 1""",173,R,R
Miles Mastrobuoni,Seattle Mariners,,Third Base,29,"5' 10""",185,L,R
Mitch Garver,Seattle Mariners,,Catcher,34,"6' 1""",220,R,R
Randy Arozarena,Seattle Mariners,,Outfielder,30,"5' 10""",185,R,R
Rowdy Tellez,Seattle Mariners,,First Base,30,"6' 4""",270,L,L
Camilo Doval,San Francisco Giants,,Pitcher,27,"6' 2""",205,R,R
Casey Schmitt,San Francisco Giants,,First Base,26,"6' 0""",220,R,R
Christian Koss,San Francisco Giants,,Second Base,27,"6' 1""",186,R,R
Erik Miller,San Francisco Giants,,Pitcher,27,"6' 5""",268,L,L
Hayden Birdsong,San Francisco Giants,,Pitcher,23,"6' 4""",216,R,R
Heliot Ramos,San Francisco Giants,,Outfielder,25,"5' 11""",230,R,R
Jordan Hicks,San Francisco Giants,,Pitcher,28,"6' 2""",217,R,R
Jung Hoo Lee,San Francisco Giants,,Outfielder,26,"6' 0""",197,L,R
Justin Verlander,San Francisco Giants,,Pitcher,42,"6' 5""",240,R,R
Kyle Harrison,San Francisco Giants,,Pitcher,23,"6' 2""",209,R,L
LaMonte Wade Jr.,San Francisco Giants,,First Base,31,"5' 11""",215,L,L
Landen Roupp,San Francisco Giants,,Pitcher,26,"6' 2""",215,R,R
Logan Webb,San Francisco Giants,,Pitcher,28,"6' 1""",223,R,R
Luis Matos,San Francisco Giants,,Outfielder,23,"5' 11""",207,R,R
Matt Chapman,San Francisco Giants,,Third Base,32,"6' 1""",225,R,R
Mike Yastrzemski,San Francisco Giants,,Outfielder,34,"5' 11""",180,L,L
Patrick Bailey,San Francisco Giants,,Catcher,25,"6' 0""",225,S,R
Randy Rodríguez,San Francisco Giants,,Pitcher,25,"6' 0""",195,R,R
Robbie Ray,San Francisco Giants,,Pitcher,33,"6' 2""",208,L,L
Ryan Walker,San Francisco Giants,,Pitcher,29,"6' 2""",212,R,R
Sam Huff,San Francisco Giants,,Catcher,27,"6' 4""",242,R,R
Spencer Bivens,San Francisco Giants,,Pitcher,30,"6' 5""",217,R,R
Tyler Fitzgerald,San Francisco Giants,,Second Base,27,"6' 2""",208,R,R
Tyler Rogers,San Francisco Giants,,Pitcher,34,"6' 3""",180,R,R
