date,home_team,home_score,away_team,away_score,status
2025-05-21,"MIN",2,"CLE",1,"Suspended"
2025-05-21,"PIT",0,"CIN",0,"Scheduled"
2025-05-21,"MIA",0,"CHC",0,"Scheduled"
2025-05-21,"TB",0,"HOU",0,"Scheduled"
2025-05-21,"MIL",0,"BAL",0,"Scheduled"
2025-05-21,"STL",0,"DET",0,"Scheduled"
2025-05-21,"CHW",0,"SEA",0,"Scheduled"
2025-05-21,"MIN",0,"CLE",0,"Scheduled"
2025-05-21,"SF",0,"KC",0,"Scheduled"
2025-05-21,"WSH",0,"ATL",0,"Scheduled"
2025-05-21,"BOS",0,"NYM",0,"Scheduled"
2025-05-21,"NYY",0,"TEX",0,"Scheduled"
2025-05-21,"TOR",0,"SD",0,"Scheduled"
2025-05-21,"COL",0,"PHI",0,"Scheduled"
2025-05-21,"ATH",0,"LAA",0,"Scheduled"
2025-05-21,"LAD",0,"ARI",0,"Scheduled"
